,S1,S2,S3,S4,S5
2004-03-14 01:00:00,1484.0,1484.0,880.0,1624.0,1530.0
2004-03-14 02:00:00,1367.0,1367.0,953.0,1543.0,1337.0
2004-03-14 03:00:00,1344.0,1344.0,921.0,1620.0,1278.0
2004-03-14 04:00:00,1130.0,1130.0,1130.0,1452.0,1051.0
2004-03-14 05:00:00,1062.0,1062.0,1272.0,1377.0,929.0
2004-03-14 06:00:00,1076.0,1076.0,1395.0,1333.0,872.0
2004-03-14 07:00:00,1028.0,1028.0,1384.0,1340.0,853.0
2004-03-14 08:00:00,1155.0,1155.0,1225.0,1414.0,959.0
2004-03-14 09:00:00,1235.0,1235.0,1055.0,1527.0,1093.0
2004-03-14 10:00:00,1332.0,1332.0,952.0,1614.0,1225.0
2004-03-14 11:00:00,1445.0,1445.0,878.0,1696.0,1355.0
2004-03-14 12:00:00,1416.0,1416.0,907.0,1677.0,1262.0
2004-03-14 13:00:00,1281.0,1281.0,1084.0,1525.0,980.0
2004-03-14 14:00:00,1207.0,1207.0,1104.0,1490.0,872.0
2004-03-14 15:00:00,1258.0,1258.0,1081.0,1511.0,900.0
2004-03-14 16:00:00,1458.0,1458.0,974.0,1646.0,1099.0
2004-03-14 17:00:00,1438.0,1438.0,943.0,1668.0,1206.0
2004-03-14 18:00:00,1478.0,1478.0,929.0,1671.0,1262.0
2004-03-14 19:00:00,1808.0,1808.0,753.0,1993.0,1698.0
2004-03-14 20:00:00,1898.0,1898.0,681.0,2103.0,1905.0
2004-03-14 21:00:00,1560.0,1560.0,784.0,1818.0,1648.0
2004-03-14 22:00:00,1324.0,1324.0,924.0,1587.0,1423.0
2004-03-14 23:00:00,1349.0,1349.0,933.0,1617.0,1349.0
2004-03-15 00:00:00,1239.0,1239.0,985.0,1547.0,1250.0
2004-03-15 01:00:00,1239.0,1239.0,1010.0,1543.0,1174.0
2004-03-15 02:00:00,1224.0,1224.0,998.0,1566.0,1149.0
2004-03-15 03:00:00,1078.0,1078.0,1128.0,1487.0,1021.0
2004-03-15 04:00:00,1078.0,1078.0,1150.0,1468.0,1013.0
2004-03-15 05:00:00,1075.0,1075.0,1156.0,1464.0,1010.0
2004-03-15 06:00:00,1157.0,1157.0,1030.0,1584.0,1083.0
2004-03-15 07:00:00,1314.0,1314.0,897.0,1710.0,1235.0
2004-03-15 08:00:00,1797.0,1797.0,652.0,2323.0,1680.0
2004-03-15 09:00:00,1961.0,1961.0,537.0,2665.0,2184.0
2004-03-15 10:00:00,1771.0,1771.0,622.0,2262.0,1973.0
2004-03-15 11:00:00,1564.0,1564.0,710.0,2029.0,1798.0
2004-03-15 12:00:00,1430.0,1430.0,831.0,1783.0,1522.0
2004-03-15 13:00:00,1417.0,1417.0,830.0,1831.0,1404.0
2004-03-15 14:00:00,1400.0,1400.0,838.0,1829.0,1263.0
2004-03-15 15:00:00,1317.0,1317.0,926.0,1707.0,1137.0
2004-03-15 16:00:00,1318.0,1318.0,950.0,1675.0,1068.0
2004-03-15 17:00:00,1445.0,1445.0,857.0,1824.0,1252.0
2004-03-15 18:00:00,1917.0,1917.0,631.0,2447.0,1843.0
2004-03-15 19:00:00,2040.0,2040.0,542.0,2679.0,2122.0
2004-03-15 20:00:00,1895.0,1895.0,565.0,2443.0,1992.0
2004-03-15 21:00:00,1595.0,1595.0,678.0,2058.0,1707.0
2004-03-15 22:00:00,1439.0,1439.0,764.0,1856.0,1494.0
2004-03-15 23:00:00,1142.0,1142.0,1008.0,1547.0,1164.0
2004-03-16 00:00:00,1304.0,1304.0,852.0,1731.0,1272.0
2004-03-16 01:00:00,1074.0,1074.0,1098.0,1483.0,1040.0
2004-03-16 02:00:00,968.0,968.0,1320.0,1386.0,867.0
2004-03-16 03:00:00,929.0,929.0,1376.0,1364.0,826.0
2004-03-16 04:00:00,941.0,941.0,1316.0,1373.0,840.0
2004-03-16 05:00:00,937.0,937.0,1412.0,1348.0,793.0
2004-03-16 06:00:00,1017.0,1017.0,1246.0,1418.0,870.0
2004-03-16 07:00:00,1171.0,1171.0,1162.0,1467.0,930.0
2004-03-16 08:00:00,1541.0,1541.0,770.0,1889.0,1407.0
2004-03-16 09:00:00,1539.0,1539.0,698.0,2055.0,1507.0
2004-03-16 10:00:00,1735.0,1735.0,628.0,2211.0,1843.0
2004-03-16 11:00:00,1571.0,1571.0,730.0,1973.0,1729.0
2004-03-16 12:00:00,1452.0,1452.0,776.0,1868.0,1583.0
2004-03-16 13:00:00,1579.0,1579.0,724.0,1998.0,1671.0
2004-03-16 14:00:00,1466.0,1466.0,773.0,1897.0,1491.0
2004-03-16 15:00:00,1280.0,1280.0,893.0,1675.0,1240.0
2004-03-16 16:00:00,1407.0,1407.0,905.0,1759.0,1313.0
2004-03-16 17:00:00,1389.0,1389.0,898.0,1739.0,1363.0
2004-03-16 18:00:00,1447.0,1447.0,859.0,1778.0,1296.0
2004-03-16 19:00:00,1551.0,1551.0,800.0,1875.0,1432.0
2004-03-16 20:00:00,1474.0,1474.0,854.0,1776.0,1432.0
2004-03-16 21:00:00,1800.0,1800.0,700.0,2106.0,2034.0
2004-03-16 22:00:00,1379.0,1379.0,818.0,1710.0,1602.0
2004-03-16 23:00:00,1201.0,1201.0,935.0,1560.0,1362.0
2004-03-17 00:00:00,1205.0,1205.0,922.0,1547.0,1314.0
2004-03-17 01:00:00,1072.0,1072.0,1066.0,1442.0,1114.0
2004-03-17 02:00:00,998.0,998.0,1169.0,1383.0,992.0
2004-03-17 03:00:00,933.0,933.0,1292.0,1332.0,884.0
2004-03-17 04:00:00,883.0,883.0,1396.0,1303.0,808.0
2004-03-17 05:00:00,869.0,869.0,1460.0,1268.0,667.0
2004-03-17 06:00:00,891.0,891.0,1417.0,1289.0,733.0
2004-03-17 07:00:00,1173.0,1173.0,1038.0,1556.0,1052.0
2004-03-17 08:00:00,1587.0,1587.0,702.0,1999.0,1534.0
2004-03-17 09:00:00,1852.0,1852.0,553.0,2535.0,1931.0
2004-03-17 10:00:00,1522.0,1522.0,703.0,2026.0,1734.0
2004-03-17 11:00:00,1438.0,1438.0,819.0,1782.0,1595.0
2004-03-17 12:00:00,1393.0,1393.0,905.0,1654.0,1490.0
2004-03-17 13:00:00,1452.0,1452.0,861.0,1747.0,1508.0
2004-03-17 14:00:00,1389.0,1389.0,887.0,1712.0,1334.0
2004-03-17 15:00:00,1207.0,1207.0,1013.0,1520.0,1045.0
2004-03-17 16:00:00,1365.0,1365.0,940.0,1679.0,1221.0
2004-03-17 17:00:00,1247.0,1247.0,1032.0,1525.0,1069.0
2004-03-17 18:00:00,1557.0,1557.0,793.0,1981.0,1569.0
2004-03-17 19:00:00,1973.0,1973.0,617.0,2414.0,2306.0
2004-03-17 20:00:00,1975.0,1975.0,597.0,2416.0,2359.0
2004-03-17 21:00:00,1795.0,1795.0,653.0,2174.0,2050.0
2004-03-17 22:00:00,1444.0,1444.0,770.0,1727.0,1727.0
2004-03-17 23:00:00,1488.0,1488.0,731.0,1778.0,1705.0
2004-03-18 00:00:00,1371.0,1371.0,796.0,1669.0,1551.0
2004-03-18 01:00:00,1161.0,1161.0,947.0,1502.0,1240.0
2004-03-18 02:00:00,1064.0,1064.0,1057.0,1407.0,1115.0
2004-03-18 03:00:00,970.0,970.0,1196.0,1351.0,969.0
2004-03-18 04:00:00,954.0,954.0,1260.0,1334.0,925.0
2004-03-18 05:00:00,931.0,931.0,1293.0,1307.0,828.0
2004-03-18 06:00:00,938.0,938.0,1251.0,1333.0,893.0
2004-03-18 07:00:00,1166.0,1166.0,1005.0,1551.0,1075.0
2004-03-18 08:00:00,1643.0,1643.0,667.0,2094.0,1610.0
2004-03-18 09:00:00,1934.0,1934.0,541.0,2468.0,2051.0
2004-03-18 10:00:00,1617.0,1617.0,686.0,2010.0,1819.0
2004-03-18 11:00:00,1473.0,1473.0,831.0,1752.0,1568.0
2004-03-18 12:00:00,1379.0,1379.0,899.0,1663.0,1374.0
2004-03-18 13:00:00,1385.0,1385.0,891.0,1648.0,1268.0
2004-03-18 14:00:00,1379.0,1379.0,901.0,1660.0,1144.0
2004-03-18 15:00:00,1322.0,1322.0,934.0,1639.0,1109.0
2004-03-18 16:00:00,1496.0,1496.0,822.0,1767.0,1347.0
2004-03-18 17:00:00,1409.0,1409.0,873.0,1689.0,1206.0
2004-03-18 18:00:00,1513.0,1513.0,764.0,1957.0,1397.0
2004-03-18 19:00:00,1667.0,1667.0,683.0,2118.0,1588.0
2004-03-18 20:00:00,1667.0,1667.0,684.0,2051.0,1569.0
2004-03-18 21:00:00,1430.0,1430.0,814.0,1732.0,1322.0
2004-03-18 22:00:00,1333.0,1333.0,885.0,1621.0,1194.0
2004-03-18 23:00:00,1262.0,1262.0,948.0,1545.0,1062.0
2004-03-19 00:00:00,1287.0,1287.0,918.0,1606.0,1040.0
2004-03-19 01:00:00,1134.0,1134.0,1021.0,1501.0,917.0
2004-03-19 02:00:00,999.0,999.0,1229.0,1380.0,594.0
2004-03-19 03:00:00,961.0,961.0,1382.0,1301.0,430.0
2004-03-19 04:00:00,934.0,934.0,1440.0,1280.0,397.0
2004-03-19 05:00:00,913.0,913.0,1620.0,1260.0,370.0
2004-03-19 06:00:00,969.0,969.0,1373.0,1324.0,438.0
2004-03-19 07:00:00,1182.0,1182.0,1054.0,1539.0,704.0
2004-03-19 08:00:00,1740.0,1740.0,671.0,2144.0,1476.0
2004-03-19 09:00:00,1819.0,1819.0,575.0,2456.0,1716.0
2004-03-19 10:00:00,1427.0,1427.0,701.0,1980.0,1398.0
2004-03-19 11:00:00,1390.0,1390.0,759.0,1879.0,1268.0
2004-03-19 12:00:00,1283.0,1283.0,813.0,1751.0,1188.0
2004-03-19 13:00:00,1304.0,1304.0,793.0,1801.0,1171.0
2004-03-19 14:00:00,1364.0,1364.0,771.0,1875.0,1250.0
2004-03-19 15:00:00,1410.0,1410.0,724.0,1957.0,1344.0
2004-03-19 16:00:00,1476.0,1476.0,708.0,1955.0,1378.0
2004-03-19 17:00:00,1522.0,1522.0,690.0,2005.0,1435.0
2004-03-19 18:00:00,1442.0,1442.0,704.0,1952.0,1372.0
2004-03-19 19:00:00,1469.0,1469.0,677.0,1997.0,1471.0
2004-03-19 20:00:00,1467.0,1467.0,698.0,1942.0,1439.0
2004-03-19 21:00:00,1421.0,1421.0,748.0,1854.0,1429.0
2004-03-19 22:00:00,1175.0,1175.0,904.0,1604.0,1081.0
2004-03-19 23:00:00,1215.0,1215.0,948.0,1547.0,993.0
2004-03-20 00:00:00,1127.0,1127.0,1064.0,1447.0,837.0
2004-03-20 01:00:00,1090.0,1090.0,1105.0,1429.0,761.0
2004-03-20 02:00:00,1017.0,1017.0,1182.0,1382.0,650.0
2004-03-20 03:00:00,997.0,997.0,1252.0,1359.0,591.0
2004-03-20 04:00:00,945.0,945.0,1308.0,1332.0,505.0
2004-03-20 05:00:00,956.0,956.0,1260.0,1351.0,518.0
2004-03-20 06:00:00,966.0,966.0,1317.0,1342.0,571.0
2004-03-20 07:00:00,1064.0,1064.0,1161.0,1461.0,842.0
2004-03-20 08:00:00,1300.0,1300.0,902.0,1623.0,1145.0
2004-03-20 09:00:00,1348.0,1348.0,834.0,1689.0,1218.0
2004-03-20 10:00:00,1425.0,1425.0,776.0,1764.0,1341.0
2004-03-20 11:00:00,1474.0,1474.0,768.0,1768.0,1406.0
2004-03-20 12:00:00,1490.0,1490.0,782.0,1757.0,1422.0
2004-03-20 13:00:00,1495.0,1495.0,809.0,1735.0,1373.0
2004-03-20 14:00:00,1376.0,1376.0,900.0,1636.0,1153.0
2004-03-20 15:00:00,1305.0,1305.0,980.0,1573.0,927.0
2004-03-20 16:00:00,1283.0,1283.0,1036.0,1539.0,766.0
2004-03-20 17:00:00,1392.0,1392.0,930.0,1649.0,941.0
2004-03-20 18:00:00,1452.0,1452.0,856.0,1774.0,1146.0
2004-03-20 19:00:00,1633.0,1633.0,734.0,1919.0,1417.0
2004-03-20 20:00:00,1625.0,1625.0,733.0,1885.0,1442.0
2004-03-20 21:00:00,1535.0,1535.0,785.0,1820.0,1323.0
2004-03-20 22:00:00,1323.0,1323.0,864.0,1712.0,1125.0
2004-03-20 23:00:00,1309.0,1309.0,905.0,1672.0,1036.0
2004-03-21 00:00:00,1456.0,1456.0,835.0,1714.0,1202.0
2004-03-21 01:00:00,1300.0,1300.0,941.0,1577.0,1054.0
2004-03-21 02:00:00,1203.0,1203.0,1004.0,1526.0,903.0
2004-03-21 03:00:00,1195.0,1195.0,987.0,1554.0,885.0
2004-03-21 04:00:00,1117.0,1117.0,1029.0,1539.0,818.0
2004-03-21 05:00:00,1062.0,1062.0,1136.0,1461.0,700.0
2004-03-21 06:00:00,947.0,947.0,1300.0,1390.0,580.0
2004-03-21 07:00:00,1065.0,1065.0,1143.0,1492.0,815.0
2004-03-21 08:00:00,1155.0,1155.0,1062.0,1528.0,1035.0
2004-03-21 09:00:00,1220.0,1220.0,996.0,1560.0,1067.0
2004-03-21 10:00:00,1301.0,1301.0,914.0,1633.0,1114.0
2004-03-21 11:00:00,1279.0,1279.0,911.0,1646.0,1000.0
2004-03-21 12:00:00,1267.0,1267.0,953.0,1617.0,906.0
2004-03-21 13:00:00,1239.0,1239.0,981.0,1568.0,822.0
2004-03-21 14:00:00,1128.0,1128.0,1144.0,1507.0,610.0
2004-03-21 15:00:00,1243.0,1243.0,962.0,1669.0,657.0
2004-03-21 16:00:00,1208.0,1208.0,1060.0,1506.0,647.0
2004-03-21 17:00:00,1306.0,1306.0,961.0,1607.0,762.0
2004-03-21 18:00:00,1546.0,1546.0,769.0,1874.0,1122.0
2004-03-21 19:00:00,1501.0,1501.0,823.0,1744.0,1130.0
2004-03-21 20:00:00,1605.0,1605.0,769.0,1840.0,1637.0
2004-03-21 21:00:00,1316.0,1316.0,883.0,1673.0,1272.0
2004-03-21 22:00:00,1195.0,1195.0,933.0,1594.0,1098.0
2004-03-21 23:00:00,1211.0,1211.0,920.0,1624.0,1066.0
2004-03-22 00:00:00,1161.0,1161.0,995.0,1582.0,909.0
2004-03-22 01:00:00,1095.0,1095.0,1050.0,1547.0,818.0
2004-03-22 02:00:00,897.0,897.0,1417.0,1355.0,472.0
2004-03-22 03:00:00,842.0,842.0,1813.0,1274.0,394.0
2004-03-22 04:00:00,854.0,854.0,1756.0,1304.0,396.0
2004-03-22 05:00:00,845.0,845.0,1786.0,1278.0,378.0
2004-03-22 06:00:00,942.0,942.0,1480.0,1373.0,432.0
2004-03-22 07:00:00,1090.0,1090.0,1072.0,1538.0,699.0
2004-03-22 08:00:00,1514.0,1514.0,732.0,1996.0,1252.0
2004-03-22 09:00:00,1379.0,1379.0,711.0,1962.0,1237.0
2004-03-22 10:00:00,1074.0,1074.0,1032.0,1484.0,772.0
2004-03-22 11:00:00,1090.0,1090.0,1026.0,1509.0,766.0
2004-03-22 12:00:00,1110.0,1110.0,947.0,1577.0,829.0
2004-03-22 13:00:00,1102.0,1102.0,955.0,1599.0,783.0
2004-03-22 14:00:00,1100.0,1100.0,952.0,1607.0,822.0
2004-03-22 15:00:00,1094.0,1094.0,965.0,1574.0,813.0
2004-03-22 16:00:00,1076.0,1076.0,964.0,1544.0,813.0
2004-03-22 17:00:00,1152.0,1152.0,928.0,1606.0,850.0
2004-03-22 18:00:00,1407.0,1407.0,720.0,1932.0,1276.0
2004-03-22 19:00:00,1438.0,1438.0,678.0,1993.0,1401.0
2004-03-22 20:00:00,1425.0,1425.0,678.0,1965.0,1356.0
2004-03-22 21:00:00,1279.0,1279.0,775.0,1758.0,1243.0
2004-03-22 22:00:00,1132.0,1132.0,920.0,1561.0,1083.0
2004-03-22 23:00:00,1006.0,1006.0,1142.0,1370.0,795.0
2004-03-23 00:00:00,982.0,982.0,1204.0,1359.0,735.0
2004-03-23 01:00:00,969.0,969.0,1271.0,1309.0,684.0
2004-03-23 02:00:00,941.0,941.0,1298.0,1330.0,714.0
2004-03-23 03:00:00,892.0,892.0,1522.0,1285.0,456.0
2004-03-23 04:00:00,855.0,855.0,1701.0,1261.0,401.0
2004-03-23 05:00:00,834.0,834.0,1908.0,1212.0,361.0
2004-03-23 06:00:00,909.0,909.0,1542.0,1287.0,418.0
2004-03-23 07:00:00,1061.0,1061.0,1178.0,1429.0,616.0
2004-03-23 08:00:00,1441.0,1441.0,851.0,1829.0,1089.0
2004-03-23 09:00:00,1498.0,1498.0,684.0,2095.0,1329.0
2004-03-23 10:00:00,1343.0,1343.0,760.0,1857.0,1311.0
2004-03-23 11:00:00,1308.0,1308.0,792.0,1794.0,1236.0
2004-03-23 12:00:00,1209.0,1209.0,837.0,1746.0,1147.0
2004-03-23 13:00:00,1310.0,1310.0,770.0,1847.0,1301.0
2004-03-23 14:00:00,1171.0,1171.0,881.0,1639.0,1097.0
2004-03-23 15:00:00,1112.0,1112.0,924.0,1589.0,900.0
2004-03-23 16:00:00,1132.0,1132.0,944.0,1570.0,781.0
2004-03-23 17:00:00,1225.0,1225.0,818.0,1719.0,1013.0
2004-03-23 18:00:00,1065.0,1065.0,962.0,1514.0,790.0
2004-03-23 19:00:00,1236.0,1236.0,854.0,1688.0,1059.0
2004-03-23 20:00:00,1309.0,1309.0,812.0,1722.0,1205.0
2004-03-23 21:00:00,1089.0,1089.0,1006.0,1487.0,975.0
2004-03-23 22:00:00,1000.0,1000.0,1141.0,1375.0,896.0
2004-03-23 23:00:00,1041.0,1041.0,1105.0,1425.0,911.0
2004-03-24 00:00:00,1045.0,1045.0,1137.0,1411.0,902.0
2004-03-24 01:00:00,997.0,997.0,1151.0,1405.0,832.0
2004-03-24 02:00:00,948.0,948.0,1320.0,1326.0,715.0
2004-03-24 03:00:00,878.0,878.0,1493.0,1272.0,683.0
2004-03-24 04:00:00,908.0,908.0,1477.0,1287.0,721.0
2004-03-24 05:00:00,892.0,892.0,1572.0,1255.0,648.0
2004-03-24 06:00:00,954.0,954.0,1496.0,1255.0,612.0
2004-03-24 07:00:00,1045.0,1045.0,1186.0,1403.0,800.0
2004-03-24 08:00:00,1383.0,1383.0,832.0,1706.0,1173.0
2004-03-24 09:00:00,1597.0,1597.0,652.0,2080.0,1519.0
2004-03-24 10:00:00,1318.0,1318.0,762.0,1770.0,1287.0
2004-03-24 11:00:00,1138.0,1138.0,950.0,1505.0,966.0
2004-03-24 12:00:00,1098.0,1098.0,1012.0,1440.0,828.0
2004-03-24 13:00:00,1118.0,1118.0,959.0,1477.0,825.0
2004-03-24 14:00:00,1170.0,1170.0,879.0,1566.0,872.0
2004-03-24 15:00:00,1112.0,1112.0,1015.0,1494.0,680.0
2004-03-24 16:00:00,1390.0,1390.0,829.0,1730.0,1002.0
2004-03-24 17:00:00,1353.0,1353.0,774.0,1783.0,1159.0
2004-03-24 18:00:00,1260.0,1260.0,828.0,1722.0,979.0
2004-03-24 19:00:00,1501.0,1501.0,681.0,2008.0,1311.0
2004-03-24 20:00:00,1273.0,1273.0,795.0,1744.0,1071.0
2004-03-24 21:00:00,1179.0,1179.0,928.0,1571.0,899.0
2004-03-24 22:00:00,1047.0,1047.0,1064.0,1435.0,766.0
2004-03-24 23:00:00,973.0,973.0,1186.0,1354.0,589.0
2004-03-25 00:00:00,997.0,997.0,1168.0,1341.0,631.0
2004-03-25 01:00:00,970.0,970.0,1400.0,1249.0,479.0
2004-03-25 02:00:00,902.0,902.0,1450.0,1253.0,479.0
2004-03-25 03:00:00,921.0,921.0,1564.0,1224.0,417.0
2004-03-25 04:00:00,858.0,858.0,1707.0,1212.0,378.0
2004-03-25 05:00:00,878.0,878.0,1935.0,1158.0,344.0
2004-03-25 06:00:00,893.0,893.0,1604.0,1268.0,413.0
2004-03-25 07:00:00,1038.0,1038.0,1260.0,1383.0,605.0
2004-03-25 08:00:00,1320.0,1320.0,902.0,1721.0,991.0
2004-03-25 09:00:00,1353.0,1353.0,740.0,1937.0,1175.0
2004-03-25 10:00:00,1133.0,1133.0,969.0,1552.0,923.0
2004-03-25 11:00:00,1066.0,1066.0,1039.0,1468.0,829.0
2004-03-25 12:00:00,1027.0,1027.0,1081.0,1442.0,733.0
2004-03-25 13:00:00,1106.0,1106.0,958.0,1570.0,819.0
2004-03-25 14:00:00,1038.0,1038.0,976.0,1492.0,723.0
2004-03-25 15:00:00,1084.0,1084.0,986.0,1501.0,786.0
2004-03-25 16:00:00,1105.0,1105.0,939.0,1545.0,850.0
2004-03-25 17:00:00,1102.0,1102.0,968.0,1527.0,820.0
2004-03-25 18:00:00,1240.0,1240.0,836.0,1748.0,991.0
2004-03-25 19:00:00,1443.0,1443.0,666.0,2060.0,1454.0
2004-03-25 20:00:00,1389.0,1389.0,692.0,1982.0,1488.0
2004-03-25 21:00:00,1183.0,1183.0,904.0,1539.0,1205.0
2004-03-25 22:00:00,1014.0,1014.0,1083.0,1376.0,909.0
2004-03-25 23:00:00,979.0,979.0,1154.0,1324.0,769.0
2004-03-26 00:00:00,1048.0,1048.0,1098.0,1373.0,835.0
2004-03-26 01:00:00,1024.0,1024.0,1131.0,1357.0,793.0
2004-03-26 02:00:00,974.0,974.0,1208.0,1313.0,733.0
2004-03-26 03:00:00,862.0,862.0,1449.0,1219.0,502.0
2004-03-26 04:00:00,925.0,925.0,1398.0,1263.0,562.0
2004-03-26 05:00:00,952.0,952.0,1210.0,1312.0,832.0
2004-03-26 06:00:00,1005.0,1005.0,1130.0,1363.0,924.0
2004-03-26 07:00:00,1122.0,1122.0,1015.0,1438.0,974.0
2004-03-26 08:00:00,1351.0,1351.0,783.0,1828.0,1307.0
2004-03-26 09:00:00,1408.0,1408.0,682.0,1928.0,1481.0
2004-03-26 10:00:00,1304.0,1304.0,772.0,1747.0,1405.0
2004-03-26 11:00:00,1207.0,1207.0,826.0,1664.0,1195.0
2004-03-26 12:00:00,1099.0,1099.0,948.0,1503.0,868.0
2004-03-26 13:00:00,1106.0,1106.0,915.0,1535.0,874.0
2004-03-26 14:00:00,1009.0,1009.0,1015.0,1391.0,738.0
